speed_ticks,speed,Kalman_gain,posterior_x_phi,omega_x,omega_y,omega_z,m_lean_angle_meas,m_lean_angle,bias,lean_rate,enc_counts_hand,enc_counts_fork,m_hand_angle,m_fork_angle,steer_rate,voltage_mtr_driver,m_lean_torque,sil_command,post_fork_pwm,post_hand_pwm,command_hand
0,0.00,0.00055,0.00436,0.01,-0.02,-0.02,-0.00,0.00436,0.00,0.00622,3177,6065,-0.26527,-0.06889,0.00000,1.69,0.00,,16384,16552,-0.20
0,0.00,0.00055,0.00442,0.01,-0.02,-0.02,0.00,0.00442,0.00,0.00763,3177,6065,-0.26527,-0.06889,0.00000,1.69,0.00,,16384,16552,-0.20
0,0.00,0.00056,0.00450,0.01,-0.02,-0.01,0.00,0.00450,0.00,0.00524,3177,6065,-0.26527,-0.06889,0.00000,1.69,0.00,,16384,16552,-0.20
0,0.00,0.00056,0.00455,0.00,-0.02,-0.01,0.00,0.00455,0.00,0.00274,3177,6065,-0.26527,-0.06889,0.00000,1.69,0.00,,16384,16552,-0.20
0,0.00,0.00057,0.00457,0.00,-0.02,-0.01,0.00,0.00457,0.00,0.00419,3177,6065,-0.26527,-0.06889,0.00000,1.69,0.00,,16384,16552,-0.20
0,0.00,0.00057,0.00461,0.00,-0.01,-0.01,-0.00,0.00461,0.00,0.00107,3177,6065,-0.26527,-0.06889,0.00000,1.69,0.00,,16384,16552,-0.20
0,0.00,0.00058,0.00462,0.00,-0.01,-0.02,-0.00,0.00462,0.00,0.00052,3177,6065,-0.26527,-0.06889,0.00000,1.69,0.00,,16384,16552,-0.20
0,0.00,0.00058,0.00462,0.00,-0.01,-0.01,-0.00,0.00462,0.00,0.00428,3177,6065,-0.26527,-0.06889,0.00000,1.69,0.00,,16384,16552,-0.20
0,0.00,0.00059,0.00466,0.00,-0.01,-0.02,-0.00,0.00466,0.00,0.00369,3177,6065,-0.26527,-0.06889,0.00000,1.69,0.00,,16384,16552,-0.20
0,0.00,0.00059,0.00470,0.00,-0.01,-0.02,-0.00,0.00469,0.00,0.00267,3177,6065,-0.26527,-0.06889,0.00000,1.69,0.00,,16384,16552,-0.20
0,0.00,0.00060,0.00472,0.00,-0.01,-0.02,-0.00,0.00472,0.00,0.00467,3177,6065,-0.26527,-0.06889,0.00000,1.69,0.00,,16384,16552,-0.20
