speed_ticks,speed,Kalman_gain,posterior_x_phi,omega_x,omega_y,omega_z,m_lean_angle_meas,m_lean_angle,bias,lean_rate,enc_counts_hand,enc_counts_fork,m_hand_angle,m_fork_angle,steer_rate,voltage_mtr_driver,m_hand_torque,m_lean_torque,sil_command,post_fork_pwm,post_hand_pwm,command_fork,command_hand
0,0.00,0.00053,-0.00038,0.00,-0.02,-0.01,-0.00,-0.00038,-0.00,0.00054,3379,6851,-0.11034,-0.67174,0.00000,1.67742,0.10565,816,,16384,16384,0.00,0.00
0,0.00,0.00053,-0.00038,-0.00,-0.02,-0.01,-0.00,-0.00038,-0.00,-0.00286,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,815,,16384,16384,0.00,0.00
0,0.00,0.00054,-0.00041,0.00,-0.02,-0.01,-0.00,-0.00041,-0.00,0.00058,3379,6851,-0.11034,-0.67174,0.00000,1.67419,0.05530,814,,16384,16384,0.00,0.00
0,0.00,0.00054,-0.00040,-0.00,-0.02,-0.01,-0.00,-0.00040,-0.00,-0.00086,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,814,,16384,16384,0.00,0.00
0,0.00,0.00055,-0.00041,-0.00,-0.01,-0.02,-0.00,-0.00041,-0.00,-0.00153,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,814,,16384,16384,0.00,0.00
0,0.00,0.00055,-0.00042,0.00,-0.02,-0.01,-0.00,-0.00042,-0.00,0.00153,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,816,,16384,16384,0.00,0.00
0,0.00,0.00056,-0.00041,-0.00,-0.02,-0.01,0.00,-0.00041,-0.00,-0.00361,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,815,,16384,16384,0.00,0.00
0,0.00,0.00056,-0.00045,-0.00,-0.02,-0.01,-0.00,-0.00044,-0.00,-0.00051,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,814,,16384,16384,0.00,0.00
0,0.00,0.00057,-0.00045,0.00,-0.02,-0.02,0.00,-0.00045,-0.00,0.00003,3379,6851,-0.11034,-0.67174,0.00000,1.68387,0.20637,813,,16384,16384,0.00,0.00
0,0.00,0.00057,-0.00045,0.00,-0.02,-0.01,-0.00,-0.00045,-0.00,0.00255,3379,6851,-0.11034,-0.67174,0.00000,1.67742,0.10565,816,,16384,16384,0.00,0.00
0,0.00,0.00058,-0.00042,-0.00,-0.02,-0.01,-0.00,-0.00042,-0.00,-0.00043,3379,6851,-0.11034,-0.67174,0.00000,1.67742,0.10565,815,,16384,16384,0.00,0.00
0,0.00,0.00058,-0.00043,-0.00,-0.02,-0.01,-0.00,-0.00043,-0.00,-0.00301,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,816,,16384,16384,0.00,0.00
0,0.00,0.00059,-0.00046,-0.00,-0.02,-0.01,-0.00,-0.00046,-0.00,-0.00134,3379,6851,-0.11034,-0.67174,0.00000,1.68065,0.15601,812,,16384,16384,0.00,0.00
0,0.00,0.00059,-0.00047,0.00,-0.02,-0.01,-0.00,-0.00047,-0.00,0.00023,3379,6851,-0.11034,-0.67174,0.00000,1.68387,0.20637,813,,16384,16384,0.00,0.00
