raw_hand_torque,transducer_byte,sil_command,speed,lean_angle,lean_rate,hand_angle,fork_angle,fork_rate,lean_torque,hand_torque,command_fork,command_hand
,818,,0.00000,0.01404,0.00763,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01410,0.00755,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.01416,0.00696,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,824,,0.00000,0.01422,0.01018,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01430,0.00990,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01439,0.00579,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01443,0.01139,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01453,0.00680,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01458,0.00770,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.01464,0.00708,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01469,0.00775,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01475,0.00880,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01482,0.00849,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01489,0.00809,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01495,0.00998,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01503,0.00903,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.01511,0.00930,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,816,,0.00000,0.01518,0.00790,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,825,,0.00000,0.01524,0.00665,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.01529,0.00790,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.01535,0.00699,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.01541,0.01049,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,833,,0.00000,0.01550,0.00676,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,816,,0.00000,0.01554,0.00970,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.01562,0.00994,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.01570,0.00899,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.01577,0.00857,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.01583,0.01103,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.01592,0.00888,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01599,0.00934,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.01607,0.00915,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01614,0.00612,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,816,,0.00000,0.01618,0.01028,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.01626,0.00891,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,816,,0.00000,0.01633,0.00997,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01641,0.01302,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,816,,0.00000,0.01651,0.00993,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01659,0.00695,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.01664,0.00907,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01671,0.00801,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,816,,0.00000,0.01676,0.00883,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,826,,0.00000,0.01683,0.00875,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,816,,0.00000,0.01689,0.00914,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,816,,0.00000,0.01696,0.00887,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.01703,0.00895,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.01709,0.01031,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.01717,0.00652,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01721,0.00883,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.01727,0.00879,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,816,,0.00000,0.01734,0.00886,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,816,,0.00000,0.01740,0.01019,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,817,,0.00000,0.01748,0.00867,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01754,0.00981,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01761,0.00871,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01767,0.00713,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01772,0.00917,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,818,,0.00000,0.01778,0.00765,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
,819,,0.00000,0.01783,0.00866,-0.66794,-0.63492,0.00000,0.00000,0.00000,-0.25405,-0.02432
